Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-313,,5727.00,1.54,1.08,0.312,4.13,6.610
Kepler-314,,5378.00,0.95,1.02,-0.226,4.46,2.400
Kepler-315,,5796.00,1.04,0.98,0.004,4.38,4.900
Kepler-316,,4204.00,0.52,0.59,-0.936,4.74,3.310
Kepler-317,,5497.00,0.94,0.86,-0.208,4.49,3.720
Kepler-318,,5746.00,1.19,1.02,0.004,4.33,1.620
Kepler-320,,6435.00,1.11,1.33,0.374,4.42,2.140
Kepler-321,,5740.00,1.19,1.03,-0.008,4.30,2.090
Kepler-322,,5388.00,0.89,0.92,-0.288,4.50,14.000
Kepler-323,,5987.00,1.18,1.09,0.151,4.31,3.960
Kepler-328,,6064.00,1.06,1.15,0.440,4.44,2.570
Kepler-329,,4257.00,0.52,0.60,-0.971,4.74,3.470
Kepler-330,,5117.00,0.72,0.79,-0.442,4.64,0.700
Kepler-333,,4259.00,0.53,0.60,-0.928,4.73,3.240
Kepler-335,,5877.00,1.85,1.02,0.578,4.02,4.370
Kepler-337,,5684.00,1.76,1.05,0.481,4.00,8.200
Kepler-340,,6620.00,1.85,1.65,0.867,4.06,1.290
Kepler-343,,5807.00,1.43,1.08,0.216,4.18,6.030
Kepler-344,,5774.00,0.98,0.93,-0.185,4.45,6.600
Kepler-345,,4504.00,0.62,0.61,-0.495,4.68,2.750
Kepler-346,,6033.00,1.02,0.95,-0.153,4.46,1.700
Kepler-347,,6088.00,1.00,1.05,0.342,4.47,3.890
Kepler-348,,6177.00,1.36,1.27,0.433,4.24,2.290
Kepler-349,,5956.00,0.93,1.02,-0.007,4.52,3.090
Kepler-353,,3903.00,0.50,0.55,-1.187,4.75,3.390
Kepler-355,,6184.00,1.07,0.99,0.195,4.44,3.720
Kepler-356,,6133.00,1.33,1.17,0.461,4.26,2.540
Kepler-358,,5908.00,0.95,0.94,-0.138,4.50,0.400
Kepler-36,,5979.00,1.63,1.03,0.510,4.10,4.790
Kepler-360,,6053.00,1.06,0.95,-0.132,4.42,3.400
Kepler-361,,6169.00,1.34,1.17,0.459,4.25,2.950
Kepler-362,,5788.00,0.72,1.02,0.209,4.64,0.400
Kepler-364,,6108.00,1.28,1.19,0.351,4.27,0.630
Kepler-365,,6012.00,1.05,1.02,0.112,4.43,4.270
Kepler-366,,6209.00,1.05,1.06,0.573,4.45,0.300
Kepler-367,,4710.00,0.69,0.68,-0.617,4.63,2.290
Kepler-368,,5502.00,2.02,0.97,0.562,3.90,10.470
Kepler-369,,3591.00,0.47,0.50,-1.420,4.79,4.170
Kepler-370,,5852.00,0.90,0.98,0.006,4.53,0.400
Kepler-371,,5666.00,0.99,0.93,0.244,4.39,5.500
Kepler-373,,5787.00,0.84,0.93,0.212,4.56,0.500
Kepler-375,,5826.00,0.84,0.92,-0.163,4.57,0.400
Kepler-376,,5900.00,1.18,1.06,0.357,4.30,1.910
Kepler-377,,5949.00,1.22,1.07,0.218,4.30,0.300
Kepler-378,,4661.00,0.67,0.78,-0.655,4.65,3.240
Kepler-379,,6054.00,1.31,1.15,0.280,4.27,2.240
Kepler-380,,6045.00,1.22,1.08,0.278,4.29,4.430
Kepler-382,,5600.00,0.94,0.88,0.146,4.40,11.300
Kepler-383,,4710.00,0.67,0.67,-0.698,4.62,13.900
Kepler-384,,5577.00,0.88,0.97,0.396,4.47,1.500
Kepler-386,,5178.00,0.77,0.82,-0.402,4.56,9.900
Kepler-387,,5774.00,1.05,0.82,0.137,4.35,1.010
Kepler-388,,4498.00,0.59,0.64,-0.439,4.69,13.900
Kepler-389,,5376.00,0.79,0.81,-0.516,4.57,4.680
Kepler-390,,5166.00,0.78,0.86,-0.352,4.57,3.240
Kepler-391,,4940.00,3.57,1.03,0.623,3.46,9.330
Kepler-392,,5938.00,1.13,1.07,0.195,4.32,4.370
Kepler-393,,6189.00,1.38,1.21,0.524,4.23,2.150
Kepler-395,,4262.00,0.56,0.62,-1.194,4.73,1.600
